bin,count
361.07110595703125,4546
1033.328369140625,888
1705.58544921875,710
2377.8427734375,615
3050.099853515625,505
3722.35693359375,439
4394.6142578125,359
5066.87109375,305
5739.12890625,294
6411.3857421875,241
7083.642578125,210
7755.900390625,181
8428.1572265625,168
9100.4140625,131
9772.671875,135
10444.9287109375,124
11117.185546875,127
11789.443359375,118
12461.701171875,126
13133.95703125,103
13806.21484375,105
14478.47265625,98
15150.728515625,116
15822.986328125,110
16495.244140625,106
17167.5,118
17839.7578125,131
18512.015625,147
19184.2734375,150
19856.529296875,156
20528.787109375,190
21201.04296875,184
21873.30078125,214
22545.55859375,196
23217.81640625,268
23890.072265625,304
24562.330078125,331
25234.5859375,360
25906.84375,395
26579.1015625,448
27251.359375,514
27923.615234375,536
28595.873046875,543
29268.12890625,607
29940.38671875,647
30612.64453125,679
31284.90234375,745
31957.158203125,797
32629.4140625,789
33301.671875,820
33973.9296875,834
34646.1875,849
35318.4453125,822
35990.703125,836
36662.9609375,818
37335.21484375,815
38007.47265625,746
38679.73046875,779
39351.98828125,684
40024.24609375,755
40696.5,652
41368.7578125,711
42041.015625,675
42713.2734375,764
43385.53125,848
44057.7890625,898
44730.046875,1078
45402.30078125,1153
46074.55859375,1176
46746.81640625,1225
47419.07421875,1282
48091.33203125,1345
48763.58984375,1328
49435.84375,1258
50108.1015625,1290
50780.359375,1193
51452.6171875,1113
52124.875,1099
52797.1328125,1140
53469.390625,1184
54141.64453125,1090
54813.90234375,1175
55486.16015625,1196
56158.41796875,1230
56830.67578125,1334
57502.9296875,1161
58175.1875,1136
58847.4453125,925
59519.703125,743
60191.9609375,562
60864.21875,388
61536.4765625,246
62208.73046875,155
62880.98828125,107
63553.24609375,66
64225.50390625,61
64897.76171875,59
65570.015625,52
66242.28125,41
66914.53125,59
67586.7890625,57
68259.046875,43
68931.296875,56
69603.5625,49
70275.8125,48
70948.078125,42
71620.328125,38
72292.59375,42
72964.84375,48
73637.109375,42
74309.359375,48
74981.625,52
75653.875,45
76326.1328125,40
76998.390625,61
77670.640625,42
78342.90625,50
79015.15625,42
79687.421875,41
80359.671875,52
81031.9375,55
81704.1875,56
82376.453125,46
83048.703125,51
83720.96875,50
84393.21875,45
85065.46875,64
85737.734375,65
86409.984375,71
87082.25,68
87754.5,60
88426.765625,64
89099.015625,74
89771.28125,63
90443.53125,74
91115.796875,64
91788.046875,85
92460.3125,74
93132.5625,72
93804.8125,76
94477.078125,74
95149.328125,85
95821.59375,66
96493.84375,73
97166.109375,63
97838.359375,77
98510.625,69
99182.875,57
99855.140625,65
100527.390625,63
101199.6484375,70
101871.90625,49
102544.15625,66
103216.421875,57
103888.671875,68
104560.9375,54
105233.1875,60
105905.453125,48
106577.703125,62
107249.96875,73
107922.21875,51
108594.484375,47
109266.734375,64
109938.984375,62
110611.25,47
111283.5,63
111955.765625,46
112628.015625,43
113300.28125,47
113972.53125,52
114644.796875,41
115317.046875,43
115989.3125,55
116661.5625,39
117333.828125,38
118006.078125,31
118678.328125,34
119350.59375,36
120022.84375,26
120695.109375,13
121367.359375,20
122039.625,16
122711.875,19
123384.140625,10
124056.390625,16
124728.65625,10
125400.90625,3
126073.1640625,8
126745.421875,7
127417.671875,3
128089.9375,8
128762.1875,5
129434.453125,5
130106.703125,8
130778.96875,8
131451.21875,8
132123.46875,2
132795.734375,5
133468.0,5
134140.25,3
134812.5,7
135484.765625,8
136157.03125,8
136829.28125,7
137501.53125,9
138173.796875,3
138846.046875,5
139518.3125,11
140190.5625,5
140862.8125,12
141535.078125,11
142207.34375,7
142879.59375,8
143551.84375,15
144224.109375,11
144896.375,12
145568.625,6
146240.875,15
146913.140625,12
147585.390625,2
148257.65625,11
148929.90625,7
149602.15625,4
150274.421875,8
150946.6875,10
151618.9375,9
152291.1875,8
152963.453125,11
153635.71875,5
154307.96875,5
154980.21875,5
155652.484375,9
156324.734375,7
156997.0,8
157669.25,6
158341.5,8
159013.765625,10
159686.03125,7
160358.28125,5
161030.53125,6
161702.796875,9
162375.0625,5
163047.3125,6
163719.5625,6
164391.8125,9
165064.078125,3
165736.34375,4
166408.59375,9
167080.84375,5
167753.109375,9
168425.375,8
169097.625,7
169769.875,9
170442.140625,5
171114.40625,8
171786.65625,8
