bin,count
386.87176513671875,1258
1049.8494873046875,233
1712.8272705078125,174
2375.80517578125,116
3038.78271484375,71
3701.7607421875,69
4364.73828125,48
5027.7158203125,30
5690.69384765625,20
6353.671875,24
7016.6494140625,25
7679.626953125,18
8342.6044921875,18
9005.58203125,15
9668.560546875,15
10331.5380859375,15
10994.515625,13
11657.494140625,19
12320.470703125,13
12983.44921875,13
13646.4267578125,7
14309.404296875,17
14972.3828125,13
15635.359375,16
16298.337890625,15
16961.31640625,14
17624.29296875,15
18287.26953125,24
18950.25,28
19613.2265625,22
20276.203125,31
20939.18359375,21
21602.16015625,29
22265.13671875,28
22928.115234375,30
23591.09375,29
24254.0703125,35
24917.048828125,25
25580.02734375,33
26243.00390625,26
26905.98046875,29
27568.9609375,28
28231.9375,28
28894.9140625,28
29557.892578125,26
30220.87109375,26
30883.84765625,27
31546.826171875,34
32209.8046875,25
32872.78125,33
33535.7578125,26
34198.73828125,24
34861.71484375,34
35524.69140625,34
36187.671875,36
36850.6484375,26
37513.625,56
38176.6015625,59
38839.58203125,76
39502.55859375,119
40165.5390625,172
40828.515625,278
41491.4921875,372
42154.46875,495
42817.44921875,762
43480.42578125,867
44143.40234375,987
44806.3828125,1122
45469.359375,1119
46132.3359375,1181
46795.3125,1113
47458.29296875,1121
48121.26953125,1052
48784.25,1081
49447.2265625,1056
50110.203125,1091
50773.1796875,1055
51436.15625,1116
52099.13671875,1150
52762.11328125,1284
53425.09375,1410
54088.0703125,1500
54751.046875,1620
55414.0234375,1533
56077.00390625,1466
56739.98046875,1139
57402.9609375,898
58065.9375,708
58728.9140625,516
59391.890625,427
60054.8671875,359
60717.84765625,330
61380.82421875,308
62043.8046875,325
62706.78125,291
63369.7578125,294
64032.734375,302
64695.71484375,293
65358.69140625,284
66021.671875,281
66684.640625,301
67347.625,297
68010.609375,269
68673.578125,254
69336.5625,260
69999.53125,264
70662.515625,224
71325.484375,285
71988.46875,295
72651.453125,251
73314.421875,245
73977.40625,218
74640.375,268
75303.359375,243
75966.3359375,253
76629.3125,271
77292.296875,258
77955.265625,277
78618.25,255
79281.21875,288
79944.203125,273
80607.1796875,304
81270.15625,285
81933.140625,301
82596.109375,303
83259.09375,310
83922.0625,274
84585.046875,328
85248.03125,350
85911.0,296
86573.984375,311
87236.953125,297
87899.9375,292
88562.90625,314
89225.890625,327
89888.875,329
90551.84375,262
91214.828125,257
91877.796875,272
92540.78125,286
93203.75,252
93866.734375,244
94529.71875,218
95192.6875,216
95855.671875,227
96518.640625,211
97181.625,206
97844.6015625,232
98507.578125,211
99170.5625,228
99833.53125,203
100496.515625,191
101159.484375,226
101822.46875,186
102485.4453125,164
103148.421875,183
103811.40625,196
104474.375,209
105137.359375,206
105800.328125,224
106463.3125,180
107126.296875,171
107789.265625,172
108452.25,171
109115.21875,148
109778.203125,133
110441.171875,106
111104.15625,107
111767.140625,61
112430.109375,64
113093.09375,34
113756.0625,43
114419.046875,17
115082.0234375,24
115745.0,16
116407.984375,20
117070.953125,16
117733.9375,16
118396.90625,15
119059.890625,8
119722.8671875,11
120385.84375,4
121048.828125,4
121711.796875,11
122374.78125,14
123037.75,11
123700.734375,5
124363.7109375,6
125026.6875,11
125689.671875,11
126352.640625,12
127015.625,13
127678.59375,6
128341.578125,16
129004.5625,10
129667.53125,14
130330.515625,17
130993.4921875,7
131656.46875,14
132319.4375,17
132982.421875,10
133645.40625,14
134308.375,6
134971.34375,14
135634.34375,11
136297.3125,9
136960.28125,11
137623.265625,9
138286.25,9
138949.21875,9
139612.1875,11
140275.1875,6
140938.15625,7
141601.125,10
142264.109375,10
142927.09375,10
143590.0625,9
144253.046875,12
144916.03125,3
145579.0,9
146241.96875,10
146904.953125,10
147567.9375,11
148230.90625,10
148893.890625,10
149556.875,10
150219.84375,6
150882.8125,13
151545.796875,5
152208.78125,11
152871.75,15
153534.734375,9
154197.71875,8
154860.6875,6
155523.65625,10
156186.640625,12
156849.625,8
157512.59375,6
158175.578125,10
158838.5625,6
159501.53125,6
160164.5,12
160827.5,5
161490.46875,6
162153.4375,11
162816.421875,6
163479.40625,16
164142.375,3
164805.34375,9
165468.34375,7
166131.3125,5
166794.28125,2
167457.265625,14
168120.25,7
168783.21875,4
169446.1875,7
